,author,username,retweet_count,tweets,created_at
27,,JITUxG,0,@shrikant_ef Teri maa ka no ball chumtiye corona me dekhna chalu kiya kya kirkut expert 🤣 ball hit kaha hoti h vo important hota h kaha jayegi ye nhi chomu kuch sikh k bolna chahiye bache g*nd me ungli nhi krte homework kr Jake diwali ka chadar bajar ki najaiz olad 🤣🤣,2022-10-23 15:07:20
28,,nunaaand,0,"@bayu_joo SMA , pgn ngabisin lebih banyak waktu bareng temen sekelas soalnya gw angkatan corona:( , tapi SMP lebih ngangenin soalnya banyak bgt kenangan tentang mas crush🙏🙃",2022-10-23 15:01:36
29,,ahmerfaiz007,0,@__tiddii___ Corona waly log meri id sy dur rahy 😅,2022-10-23 15:00:05
30,,AsmaraKudulu,0,"@PMOIndia Aku kadang tertawa sendiri
Kenapa tantangan aku di Instagram
Krisna brahmana Cakra
Tidak di layani..
Sekalipun tidak di layani
Jangan salahkan aku
Bila Corona di luar negara
Meledak sendiri.",2022-10-23 14:58:34
31,,loveselves,0,@collegemenfess Aku kgn online :( Tp jgn ada corona :( Phm ga,2022-10-23 14:52:05
32,,Khwezii_,0,Corona sunsets iwuR650 kanti 👀,2022-10-23 14:51:57
33,,annidaee,0,"@collegemenfess 1. Kep, smt 7 t____t
2. Pp
3. 30k? Tergantung sih
4. Skripsi T___T, sama semua lab, dan konsep kritis
5. Yeelah pindah mah ulang dr awal nnti gk lulus lulus. Tinggal smt ini hayukkk🥺🥺💞
6. Udh pensiun org, jd kupu² dech
7. Romusha komedi
8. Pernah, keburu cinsu + takut corona😭",2022-10-23 14:48:56
34,detikcom,alya0601,3,Pemerintah mendeteksi ada tambahan 1.685 kasus baru Corona (COVID-19) di Indonesia. Jumlah tersebut merupakan data terbaru hari ini. https://t.co/8NEOLijjOs,2022-10-23 14:40:10
35,,ms_furi,0,Ngebenerin manner anak SMA hasil corona pas mereka SMP jg susah gaes... Jadi ga heran klo bakal makin banyak mahasiswa yg no manner samsek https://t.co/EGEZKm3bey,2022-10-23 14:38:12
36,,meowtalIica,0,"@ohmybeautybank -clay mask jeju volcanic innisfree
-snail cream sm essence cosrx
-neogen facewash yang rice bagus banget (pas awal corona dapet disc jadi setengah harga 😭) 

Ketiganya di atas gasanggup repurchase wkwkwk",2022-10-23 14:36:19
